,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
,Tulare Lake,San Joaquin River,Central Coast,Sacramento River,Colorado River,South Coast,North Coast,North Lahontan,San Francisco Bay,South Lahontan,Central Coast,Tulare Lake,South Lahontan,Colorado River,South Coast,San Joaquin River,North Lahontan,Sacramento River,San Francisco Bay,North Coast,San Joaquin River,South Coast,Tulare Lake,Central Coast,San Francisco Bay,Sacramento River,North Coast,South Lahontan,Colorado River,North Lahontan,Sacramento River,North Lahontan,South Lahontan,San Francisco Bay,North Coast,San Joaquin River,Tulare Lake,Colorado River,South Coast,Central Coast,San Francisco Bay,San Joaquin River,Sacramento River,Tulare Lake,North Lahontan,South Coast,South Lahontan,North Coast,Colorado River,Central Coast
C,213565.55318348,7322.3072755700005,4793.77067353,921.35081078,16031.45051,40775.61093341,,,29.54020169,1.76185875,5465.2458,224106.15224,,16575.17137,39358.0195,6947.51471,,900.14312,29.78707,,7633.33455469,39431.34153352,236801.840659,5158.58770231,28.31849196,897.77794494,,,17936.66212779,,857.62614182,,,27.16464935,9.727991560000001,7444.04490709,231634.00444834,17756.60186483,39064.10321631,5175.41822263,27.24067635,7423.66099815,858.43815638,240331.51636841,,39034.36533448,,9.4825518,17880.74727663,5610.57566308
C4,27.97974697,32.02435871,,8.01758452,10450.54672233,,,,,22.22595921,,63.71062,22.22596,12545.7104,,30.859160000000003,,8.01758,,,,,80.88269235,,,8.01754773,,22.22585275,12990.33257151,,8.01758568,,22.22595581,,,,78.52578699,13022.42096922,,,,,8.01758452,62.32879526,,0.60401268,22.22595921,,13394.42419289,
C5,111.2440355,,12437.01582797,,,46714.94908282,,,,,11349.9069,109.65912,,,42992.28786,,,,,,,42396.31601379,148.86404851,11861.77339657,,,,,,,,,,,,3.04922426,150.91574682,,41920.43038645,11841.97405519,,0.51577746,11.45913311,143.79095516,,41280.86626467,,,,12292.54659439
C6,12583.60171498,5375.63957904,2166.329735,26616.46185877,300.95631292,217.51214764,299.63143261,,754.48756993,,1962.86945,11570.75546,15.61187,642.43735,351.43551,5563.48576,,26665.77274,757.05585,331.77607,7048.93074285,317.12791785,12289.21366328,1925.41365873,725.5736025,27197.81576175,352.9434757,15.61180372,710.30097929,,29222.02825158,,14.23234298,713.77450037,342.53767995,8333.99107721,11934.59950462,667.45285435,508.01539385999996,2191.87916317,706.58568891,8650.57284948,29414.22904028,13363.92577926,,492.30827003999997,14.23234171,343.40451828,667.45280836,2221.95142972
C7,51.67338023,279.48907982000003,873.08811364,10131.92331679,1505.10312979,1103.27779134,,,0.3521185,,915.56198,67.4717,10.317350000000001,1570.31119,1030.38304,307.09581000000003,,9427.53869,,,943.03073258,928.37140073,121.2672528,489.42550604,2.4701972100000003,125.52323371,9.72794899,10.317330510000001,1628.8395846399999,,22.60850191,,7.09420831,6.70275402,,15.123991479999999,45.753887909999996,532.67435723,1259.26291482,461.92246343,11.35379862,15.6792051,21.87380962,91.35378429,,1219.01739164,7.09420708,0.78826764,528.86783366,353.64050843
C8,2802.51350097,146.71467361999999,19.08560057,1227.01657225,,2.87943569,,,10.20738793,,21.2359,3108.27348,,,2.87944,104.5882,,1485.67045,6.39733,,127.30606596999999,2.87942419,3125.99923653,19.08553559,6.3972538100000005,2148.14485522,,,,,2113.85365364,,,6.3973306,,113.36333275999999,3078.77669131,,8.31463441,19.08560105,6.39733369,113.18717813,2096.2069374,3068.1494885,,,,,,19.08560057
D1,1279.02723035,2733.42224484,2496.80943684,979.97278486,13.11085369,292.82474139,1895.41577465,,60.93517442,30.9298916,2540.31605,1360.39237,58.65043,14.71477,283.95295,2358.14905,,956.96676774,60.93517,1874.29743,2076.68826051,257.65627243,859.45364413,2607.34604662,66.22734185,910.16903179,1842.0017399,54.92304396,11.78383303,,729.22508254,,58.465956930000004,34.78149701,1875.95132694,1978.55539248,768.50151792,11.78387721,267.45403318,2582.27528395,36.24505771,1760.49127088,1086.443444,601.06123515,,224.8017687,25.965580080000002,1793.97363791,12.2710147,2786.56075566
D10,6679.8726886,7914.21219777,522.19466648,5785.93643909,327.84130881,445.37816004,376.43839,,308.23228801,183.26339302,542.18193,6668.59465,512.48,428.45404,466.6663,7807.48574,2.72155,5250.49633,290.71622,353.53203,8205.58043498,395.37678832,7591.01553853,610.52171117,309.12339158,5312.75590716,303.28544935,268.02747698,557.72240514,2.03478733,2800.04892697,2.03478555,262.91122441,300.7253903,285.14661407,8124.39099162,4909.9711341,417.6723999,419.29963113,710.00527732,305.91044766,8418.4557191,2563.7642351599998,4351.46001521,2.03478531,385.80700569,229.41336897,275.25841374,379.94770540999997,603.72352423
D12,469462.59817057,518431.87825385,2345.68062664,201178.85798449,,1.89145146,,,11.77745742,,2292.92988,539107.59363,,6.07325,,584457.9007,,241826.82763,17.5204,,643565.74575893,,604208.5197846,2222.78408553,7.87231758,263966.84971613,,,6.07320167,,279717.00543736,,,221.32493139,,646527.09202084,594584.19501512,6.0732479,,2186.16583412,221.32492703,666366.8969652801,290889.7024684,614858.81942193,,,,,6.07324669,1772.18908193
